onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.25;3;2;0;3;1;0.5;"""3/8""";62;1;1
0.25;0.25;3;2;0;3;2;0.5;"""3/8""";62;1;0
0.5;0.5;3;1;1;1;1;0.5;"""3/8""";67;1;0
1.0;0.5;3;1;1;2;1;0.5;"""3/8""";67;1;0
1.5;0.25;3;2;1;3;1;0.5;"""3/8""";62;1;0
1.75;0.25;3;2;1;3;2;0.5;"""3/8""";62;1;0
2.0;0.5;3;1;2;1;1;0.5;"""3/8""";67;1;0
2.5;0.5;3;1;2;2;1;0.5;"""3/8""";67;1;0
3.0;0.25;3;2;2;3;1;0.5;"""3/8""";62;2;1
3.25;0.25;3;2;2;3;2;0.5;"""3/8""";62;2;0
3.5;0.5;3;1;3;1;1;0.5;"""3/8""";67;2;0
4.0;0.5;3;1;3;2;1;0.5;"""3/8""";67;2;0
4.5;0.25;3;2;3;3;1;0.5;"""3/8""";62;2;0
4.75;0.25;3;2;3;3;2;0.5;"""3/8""";62;2;0
5.0;0.5;3;1;4;1;1;0.5;"""3/8""";67;2;0
5.5;0.5;3;1;4;2;1;0.5;"""3/8""";67;2;0
6.5;0.5;3;1;5;1;1;0.5;"""3/8""";74;3;1
7.0;0.5;3;1;5;2;1;0.5;"""3/8""";71;3;0
7.5;0.5;3;1;5;3;1;0.5;"""3/8""";67;3;0
8.0;0.5;3;1;6;1;1;0.5;"""3/8""";62;3;0
8.5;0.5;3;1;6;2;1;0.5;"""3/8""";62;3;0
