onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.5;4;1;0;4;1;0.5;"""4/4""";62;1;1
0.5;0.5;4;1;1;1;1;0.5;"""4/4""";67;1;0
1.0;0.5;4;1;1;2;1;0.5;"""4/4""";67;1;0
1.5;0.25;4;2;1;3;1;0.5;"""4/4""";67;1;0
1.75;0.25;4;2;1;3;2;0.5;"""4/4""";67;1;0
2.0;0.25;4;2;1;4;1;0.5;"""4/4""";71;1;0
2.25;0.25;4;2;1;4;2;0.5;"""4/4""";71;1;0
2.5;0.5;4;1;2;1;1;0.5;"""4/4""";67;1;0
3.0;0.5;4;1;2;2;1;0.5;"""4/4""";67;1;0
3.5;0.5;4;1;2;3;1;0.5;"""4/4""";62;1;0
4.0;0.5;4;1;2;4;1;0.5;"""4/4""";62;2;1
4.5;0.5;4;1;3;1;1;0.5;"""4/4""";67;2;0
5.0;0.5;4;1;3;2;1;0.5;"""4/4""";67;2;0
5.5;0.25;4;2;3;3;1;0.5;"""4/4""";67;2;0
5.75;0.25;4;2;3;3;2;0.5;"""4/4""";67;2;0
6.0;0.25;4;2;3;4;1;0.5;"""4/4""";71;2;0
6.25;0.25;4;2;3;4;2;0.5;"""4/4""";71;2;0
6.5;0.5;4;1;4;1;1;0.5;"""4/4""";67;2;0
7.0;0.5;4;1;4;2;1;0.5;"""4/4""";67;2;0
7.5;0.5;4;1;4;3;1;0.5;"""4/4""";62;2;0
8.0;0.5;4;1;4;4;1;0.5;"""4/4""";62;3;1
8.5;1.0;4;1;5;1;1;0.5;"""4/4""";67;3;0
9.5;0.5;4;1;5;3;1;0.5;"""4/4""";62;3;0
10.0;0.5;4;1;5;4;1;0.5;"""4/4""";62;3;0
10.5;1.0;4;1;6;1;1;0.5;"""4/4""";67;3;0
11.5;0.5;4;1;6;3;1;0.5;"""4/4""";62;3;0
12.0;0.5;4;1;6;4;1;0.5;"""4/4""";62;4;1
12.5;0.5;4;1;7;1;1;0.5;"""4/4""";67;4;0
13.0;0.5;4;1;7;2;1;0.5;"""4/4""";67;4;0
13.5;0.5;4;1;7;3;1;0.5;"""4/4""";67;4;0
14.0;0.5;4;1;7;4;1;0.5;"""4/4""";71;4;0
14.5;1.0;4;1;8;1;1;0.5;"""4/4""";67;4;0
15.5;0.5;4;1;8;3;1;0.5;"""4/4""";62;4;0
16.0;0.5;4;1;8;4;1;0.5;"""4/4""";62;5;1
16.5;0.5;4;1;9;1;1;0.5;"""4/4""";67;5;0
17.0;0.5;4;1;9;2;1;0.5;"""4/4""";67;5;0
17.5;0.5;4;1;9;3;1;0.5;"""4/4""";67;5;0
18.0;0.5;4;1;9;4;1;0.5;"""4/4""";71;5;0
18.5;1.0;4;1;10;1;1;0.5;"""4/4""";67;5;0
19.5;0.5;4;1;10;3;1;0.5;"""4/4""";62;5;0
20.0;0.5;4;1;10;4;1;0.5;"""4/4""";62;6;1
20.5;0.5;4;1;11;1;1;0.5;"""4/4""";67;6;0
21.0;0.5;4;1;11;2;1;0.5;"""4/4""";67;6;0
21.5;0.5;4;1;11;3;1;0.5;"""4/4""";67;6;0
22.0;0.5;4;1;11;4;1;0.5;"""4/4""";71;6;0
22.5;1.0;4;1;12;1;1;0.5;"""4/4""";67;6;0
23.5;0.5;4;1;12;3;1;0.5;"""4/4""";62;6;0
24.5;0.5;4;1;13;1;1;0.5;"""4/4""";67;7;1
25.0;0.5;4;1;13;2;1;0.5;"""4/4""";67;7;0
25.5;0.5;4;1;13;3;1;0.5;"""4/4""";71;7;0
26.0;0.5;4;1;13;4;1;0.5;"""4/4""";71;7;0
26.5;1.0;4;1;14;1;1;0.5;"""4/4""";67;7;0
27.5;0.5;4;1;14;3;1;0.5;"""4/4""";62;7;0
28.0;0.5;4;1;14;4;1;0.5;"""4/4""";62;8;1
28.5;0.5;4;1;15;1;1;0.5;"""4/4""";67;8;0
29.0;0.5;4;1;15;2;1;0.5;"""4/4""";67;8;0
29.5;0.5;4;1;15;3;1;0.5;"""4/4""";62;8;0
30.0;0.5;4;1;15;4;1;0.5;"""4/4""";62;8;0
30.5;0.5;4;1;16;1;1;0.5;"""4/4""";67;8;0
31.0;0.5;4;1;16;2;1;0.5;"""4/4""";67;8;0
31.5;0.5;4;1;16;3;1;0.5;"""4/4""";62;8;0
32.0;0.5;4;1;16;4;1;0.5;"""4/4""";62;9;1
32.5;0.5;4;1;17;1;1;0.5;"""4/4""";64;9;0
33.0;0.5;4;1;17;2;1;0.5;"""4/4""";64;9;0
33.5;0.5;4;1;17;3;1;0.5;"""4/4""";66;9;0
34.0;0.5;4;1;17;4;1;0.5;"""4/4""";66;9;0
34.5;1.0;4;1;18;1;1;0.5;"""4/4""";67;9;0
36.0;0.5;4;1;18;4;1;0.5;"""4/4""";62;10;1
36.5;0.5;4;1;19;1;1;0.5;"""4/4""";71;10;0
37.0;0.5;4;1;19;2;1;0.5;"""4/4""";71;10;0
37.5;0.5;4;1;19;3;1;0.5;"""4/4""";69;10;0
38.0;0.5;4;1;19;4;1;0.5;"""4/4""";69;10;0
38.5;1.0;4;1;20;1;1;0.5;"""4/4""";67;10;0
