onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.5;2;1;1;1;1;0.5;"""2/4""";67;1;1
0.5;0.5;2;1;1;2;1;0.5;"""2/4""";67;1;0
1.0;0.5;2;1;2;1;1;0.5;"""2/4""";67;1;0
1.75;0.25;2;2;2;2;2;0.5;"""2/4""";71;2;1
2.0;0.25;2;2;3;1;1;0.5;"""2/4""";72;2;0
2.25;0.25;2;2;3;1;2;0.5;"""2/4""";72;2;0
2.5;0.25;2;2;3;2;1;0.5;"""2/4""";69;2;0
2.75;0.25;2;2;3;2;2;0.5;"""2/4""";69;2;0
3.0;0.5;2;1;4;1;1;0.5;"""2/4""";74;2;0
3.5;0.5;2;1;4;2;1;0.5;"""2/4""";71;2;0
4.0;0.25;2;2;5;1;1;0.5;"""2/4""";72;3;1
4.25;0.25;2;2;5;1;2;0.5;"""2/4""";72;3;0
4.5;0.25;2;2;5;2;1;0.5;"""2/4""";69;3;0
4.75;0.25;2;2;5;2;2;0.5;"""2/4""";69;3;0
5.0;0.25;2;2;6;1;1;0.5;"""2/4""";74;3;0
5.25;0.25;2;2;6;1;2;0.5;"""2/4""";74;3;0
5.5;0.25;2;2;6;2;1;0.5;"""2/4""";71;3;0
5.75;0.25;2;2;6;2;2;0.5;"""2/4""";71;3;0
6.0;0.25;2;2;7;1;1;0.5;"""2/4""";72;4;1
6.25;0.25;2;2;7;1;2;0.5;"""2/4""";72;4;0
6.5;0.25;2;2;7;2;1;0.5;"""2/4""";69;4;0
6.75;0.25;2;2;7;2;2;0.5;"""2/4""";69;4;0
7.0;0.25;2;2;8;1;1;0.5;"""2/4""";74;4;0
7.25;0.25;2;2;8;1;2;0.5;"""2/4""";74;4;0
7.5;0.25;2;2;8;2;1;0.5;"""2/4""";71;4;0
7.75;0.25;2;2;8;2;2;0.5;"""2/4""";71;4;0
8.0;0.5;2;1;9;1;1;0.5;"""2/4""";67;5;1
8.5;0.5;2;1;9;2;1;0.5;"""2/4""";67;5;0
9.0;0.5;2;1;10;1;1;0.5;"""2/4""";67;5;0
10.0;0.5;2;1;11;1;1;0.5;"""2/4""";67;6;1
10.5;0.5;2;1;11;2;1;0.5;"""2/4""";67;6;0
11.0;0.5;2;1;12;1;1;0.5;"""2/4""";67;6;0
