onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.25;3;2;0;3;2;0.5;"""3/4""";62;1;1
0.25;0.375;3;4;1;1;1;0.5;"""3/4""";67;1;0
0.625;0.125;3;4;1;1;4;0.5;"""3/4""";67;1;0
0.75;0.75;3;1;1;2;1;0.5;"""3/4""";67;1;0
1.5;0.25;3;2;1;3;2;0.5;"""3/4""";69;1;0
1.75;0.375;3;4;2;1;1;0.5;"""3/4""";71;1;0
2.125;0.125;3;4;2;1;4;0.5;"""3/4""";71;1;0
2.25;0.75;3;1;2;2;1;0.5;"""3/4""";71;1;0
3.0;0.25;3;2;2;3;2;0.5;"""3/4""";71;2;1
3.25;0.25;3;2;3;1;1;0.5;"""3/4""";69;2;0
3.5;0.25;3;2;3;1;2;0.5;"""3/4""";71;2;0
3.75;0.5;3;1;3;2;1;0.5;"""3/4""";72;2;0
4.25;0.5;3;1;3;3;1;0.5;"""3/4""";69;2;0
4.75;0.5;3;1;4;1;1;0.5;"""3/4""";72;2;0
5.25;0.5;3;1;4;2;1;0.5;"""3/4""";71;2;0
6.0;0.25;3;2;4;3;2;0.5;"""3/4""";74;3;1
6.25;0.25;3;2;5;1;1;0.5;"""3/4""";74;3;0
6.5;0.25;3;2;5;1;2;0.5;"""3/4""";71;3;0
6.75;0.75;3;1;5;2;1;0.5;"""3/4""";76;3;0
7.5;0.25;3;2;5;3;2;0.5;"""3/4""";74;3;0
7.75;0.375;3;4;6;1;1;0.5;"""3/4""";74;3;0
8.125;0.125;3;4;6;1;4;0.5;"""3/4""";72;3;0
8.25;0.75;3;1;6;2;1;0.5;"""3/4""";72;3;0
9.0;0.25;3;2;6;3;2;0.5;"""3/4""";72;4;1
9.25;0.25;3;2;7;1;1;0.5;"""3/4""";72;4;0
9.5;0.25;3;2;7;1;2;0.5;"""3/4""";69;4;0
9.75;0.75;3;1;7;2;1;0.5;"""3/4""";74;4;0
10.5;0.25;3;2;7;3;2;0.5;"""3/4""";72;4;0
10.75;0.5;3;1;8;1;1;0.5;"""3/4""";72;4;0
11.25;0.5;3;1;8;2;1;0.5;"""3/4""";71;4;0
12.0;0.25;3;2;8;3;2;0.5;"""3/4""";74;5;1
12.25;0.25;3;2;9;1;1;0.5;"""3/4""";74;5;0
12.5;0.25;3;2;9;1;2;0.5;"""3/4""";71;5;0
12.75;0.75;3;1;9;2;1;0.5;"""3/4""";76;5;0
13.5;0.25;3;2;9;3;2;0.5;"""3/4""";74;5;0
13.75;0.375;3;4;10;1;1;0.5;"""3/4""";74;5;0
14.125;0.125;3;4;10;1;4;0.5;"""3/4""";72;5;0
14.25;0.75;3;1;10;2;1;0.5;"""3/4""";72;5;0
15.0;0.25;3;2;10;3;2;0.5;"""3/4""";72;6;1
15.25;0.25;3;2;11;1;1;0.5;"""3/4""";72;6;0
15.5;0.25;3;2;11;1;2;0.5;"""3/4""";69;6;0
15.75;0.75;3;1;11;2;1;0.5;"""3/4""";74;6;0
16.5;0.25;3;2;11;3;2;0.5;"""3/4""";72;6;0
16.75;0.5;3;1;12;1;1;0.5;"""3/4""";72;6;0
17.25;0.5;3;1;12;2;1;0.5;"""3/4""";71;6;0
