"pair_id","trial_type","n_ratings","lmer_pred_all_data","Bayes_pred_all_data","Bayes_error_all_data","Bayes_Q2.5_all_data","Bayes_Q97.5_all_data","Bayes_pred_3plus_ratings"
"1_11","midi_to_audio",1,6.09911403922788,6.10182243787411,1.5214574328792,3.15225315893403,9.09341566162861,NA
"10_555","midi_to_audio",1,6.91555179334259,6.91966226341558,1.50684343552285,3.95012458475433,9.86988264206207,NA
"100_1043","midi_to_audio",1,7.02201390883051,7.02417737998883,1.51405295226402,4.0613292086429,9.99369775342522,NA
"1001_1002","midi_to_audio",1,4.17362641927616,4.17752679296017,1.49971027208406,1.26557482161545,7.13805503544229,NA
"1005_1540","midi_to_midi",1,4.3835367077832,4.38528443364479,1.52936182172969,1.39849340156653,7.38075521941102,NA
"1007_1783","midi_to_audio",1,3.58502217228576,3.58192818057855,1.38335208558532,0.862669872616278,6.32783536940297,NA
"1007_1783","midi_to_midi",2,2.66230750788188,2.66592472035776,1.27403554928023,0.157943388323101,5.17810827343218,NA
"1009_1010","midi_to_audio",1,5.97131435882387,5.98375731968356,1.4312803882325,3.17998688292932,8.80121275446034,NA
"1009_1010","midi_to_midi",1,4.33541106291775,4.33680682457083,1.43938022224378,1.53832233215332,7.16835544835932,NA
"1012_1565","midi_to_midi",2,4.46519043165534,4.46088785777605,1.32993092990584,1.88448363066678,7.06539444465591,NA
"1017_1331","midi_to_audio",2,6.59000450760393,6.59101756627171,1.30658882013357,4.04935041063374,9.16777379207213,NA
"1018_1805","midi_to_audio",1,4.41202418821547,4.41535692640587,1.50488405810731,1.46693515985433,7.36616411336772,NA
"1019_1020","midi_to_audio",1,6.52449891466945,6.53343046746893,1.49043017336678,3.57092578672481,9.42364501196826,NA
"102_297","midi_to_midi",1,3.43933759453978,3.44638268259705,1.54691058064994,0.420219431985162,6.45731697057929,NA
"1021_1033","midi_to_audio",1,3.07633789384263,3.07053656175731,1.50956965872919,0.121026391319197,6.04825048699752,NA
"1022_1023","midi_to_audio",11,7.76017780318601,7.75967729460665,0.689150732892843,6.40282976116459,9.11939282762337,7.62962842818186
"1022_1023","midi_to_midi",6,6.10502803179244,6.10377106625072,0.865963691337797,4.38775323047282,7.79318564163773,6.00070065945097
"1024_1167","midi_to_audio",1,5.5124888119734,5.52713495781844,1.51836634519851,2.54806070230859,8.54743503186975,NA
"1028_3069","midi_to_audio",3,4.73562039755943,4.73870996235616,1.16743716736654,2.44061081522602,7.03954814387939,4.51169309111434
"1029_1030","midi_to_audio",2,4.9186823482201,4.9092257713212,1.31712646720677,2.32882294584878,7.46255251971554,NA
"103_452","midi_to_audio",17,3.93818144329426,3.94246017563125,0.584312404561395,2.80006252420693,5.09469989926475,3.95773725124572
"103_452","midi_to_midi",18,1.75324646811754,1.75511191977961,0.568195967799788,0.644005674844497,2.86223211475183,1.75316854999245
"1031_1044","midi_to_midi",2,2.44508121809569,2.43732226562368,1.30525089624688,-0.127979929919056,4.98274086864347,NA
"1038_1377","midi_to_audio",2,7.78954339182024,7.79371575166613,1.3108565640846,5.22375703654802,10.3617890404953,NA
"104_254","midi_to_midi",1,3.6928323081609,3.70009482216337,1.53755544282701,0.67888556126754,6.68634417520683,NA
"1040_1449","midi_to_midi",1,3.19048677812422,3.1867032243249,1.5273515186374,0.197224393774247,6.11054893837337,NA
"1041_1426","midi_to_audio",30,5.16347782974958,5.16309551471756,0.451913858389685,4.27072824806559,6.04093871110049,5.17126051632985
"1041_1426","midi_to_midi",15,4.11363867704499,4.11812750637811,0.610894619277081,2.91359138362349,5.29986697465142,4.1528750446177
"1042_1742","midi_to_midi",1,3.06871235913997,3.06391808956311,1.50824865195517,0.0924502305396329,6.04789282064491,NA
"1045_1062","midi_to_midi",2,3.48044098161447,3.48783812709081,1.3240669672916,0.874228344279614,6.0635227667464,NA
"1046_1347","midi_to_audio",3,4.8363894341287,4.8467214546791,1.17754166693348,2.55749734222518,7.19257343776753,4.75399930475863
"1048_1836","midi_to_audio",11,7.34636937137851,7.35074108049078,0.72967089663511,5.92547183655261,8.78332945069161,7.3125412558598
"1049_1088","midi_to_audio",2,7.68567777705149,7.68429576355259,1.32402138438593,5.10017950435052,10.2818934162907,NA
