onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.5;2;1;1;1;1;0.5;"""2/4""";69;1;1
0.5;0.5;2;1;1;2;1;0.5;"""2/4""";67;1;0
1.0;0.25;2;2;2;1;1;0.5;"""2/4""";65;1;0
1.25;0.25;2;2;2;1;2;0.5;"""2/4""";65;1;0
1.5;0.25;2;2;2;2;1;0.5;"""2/4""";60;1;0
1.75;0.25;2;2;2;2;2;0.5;"""2/4""";60;2;1
2.0;0.25;2;2;3;1;1;0.5;"""2/4""";69;2;0
2.25;0.25;2;2;3;1;2;0.5;"""2/4""";69;2;0
2.5;0.25;2;2;3;2;1;0.5;"""2/4""";67;2;0
2.75;0.25;2;2;3;2;2;0.5;"""2/4""";67;2;0
3.0;0.25;2;2;4;1;1;0.5;"""2/4""";65;2;0
3.25;0.25;2;2;4;1;2;0.5;"""2/4""";65;2;0
3.5;0.25;2;2;4;2;1;0.5;"""2/4""";60;2;0
3.75;0.25;2;2;4;2;2;0.5;"""2/4""";60;3;1
4.0;0.25;2;2;5;1;1;0.5;"""2/4""";65;3;0
4.25;0.25;2;2;5;1;2;0.5;"""2/4""";67;3;0
4.5;0.25;2;2;5;2;1;0.5;"""2/4""";69;3;0
4.75;0.25;2;2;5;2;2;0.5;"""2/4""";65;3;0
5.0;0.5;2;1;6;1;1;0.5;"""2/4""";70;3;0
5.5;0.25;2;2;6;2;1;0.5;"""2/4""";67;3;0
5.75;0.25;2;2;6;2;2;0.5;"""2/4""";65;4;1
6.0;0.25;2;2;7;1;1;0.5;"""2/4""";64;4;0
6.25;0.25;2;2;7;1;2;0.5;"""2/4""";65;4;0
6.5;0.25;2;2;7;2;1;0.5;"""2/4""";67;4;0
6.75;0.25;2;2;7;2;2;0.5;"""2/4""";60;4;0
7.0;0.5;2;1;8;1;1;0.5;"""2/4""";69;4;0
7.5;0.25;2;2;8;2;1;0.5;"""2/4""";65;4;0
7.75;0.25;2;2;8;2;2;0.5;"""2/4""";69;5;1
8.0;0.5;2;1;9;1;1;0.5;"""2/4""";65;5;0
8.5;0.25;2;2;9;2;1;0.5;"""2/4""";60;5;0
8.75;0.25;2;2;9;2;2;0.5;"""2/4""";69;5;0
9.0;0.25;2;2;10;1;1;0.5;"""2/4""";65;5;0
9.25;0.25;2;2;10;1;2;0.5;"""2/4""";65;5;0
9.5;0.25;2;2;10;2;1;0.5;"""2/4""";60;5;0
9.75;0.25;2;2;10;2;2;0.5;"""2/4""";69;5;0
10.0;0.5;2;1;11;1;1;0.5;"""2/4""";65;5;0
10.5;0.25;2;2;11;2;1;0.5;"""2/4""";60;5;0
10.75;0.25;2;2;11;2;2;0.5;"""2/4""";60;6;1
11.0;0.25;2;2;12;1;1;0.5;"""2/4""";65;6;0
11.25;0.25;2;2;12;1;2;0.5;"""2/4""";67;6;0
11.5;0.25;2;2;12;2;1;0.5;"""2/4""";69;6;0
11.75;0.25;2;2;12;2;2;0.5;"""2/4""";65;6;0
12.0;0.25;2;2;13;1;1;0.5;"""2/4""";70;6;0
12.25;0.25;2;2;13;1;2;0.5;"""2/4""";69;6;0
12.5;0.125;2;4;13;2;1;0.5;"""2/4""";67;6;0
12.625;0.125;2;4;13;2;2;0.5;"""2/4""";67;6;0
12.75;0.25;2;4;13;2;3;0.5;"""2/4""";69;6;0
13.0;0.5;2;1;14;1;1;0.5;"""2/4""";65;6;0
13.5;0.25;2;1;14;2;1;0.5;"""2/4""";65;6;0
